ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm
1,1,44.940127,-93.167129,2025-03-28T03:01:05Z,0.170943,Grand Avenue West,-0.012453,0.325421,0.3677980610321376
2,2,44.940126,-93.167296,2025-03-28T03:01:06Z,0.465602,Grand Avenue West,0.02187,-0.481029,0.669815211939084
3,3,44.940116,-93.167365,2025-03-28T03:01:07Z,0.310895,Grand Avenue West,0.047611,-0.533049,0.6189214366516965
4,4,44.940116,-93.167452,2025-03-28T03:01:08Z,0.228646,Grand Avenue West,0.014784,-0.452598,0.5072893745940279
5,5,44.940116,-93.167548,2025-03-28T03:01:09Z,0.205774,Grand Avenue West,0.033542,-0.433148,0.4807132146550581
6,6,44.94012,-93.16766,2025-03-28T03:01:10Z,0.143871,Grand Avenue West,-0.006477,-0.345991,0.3747673788512015
7,7,44.940121,-93.167776,2025-03-28T03:01:11Z,0.021881,Grand Avenue West,0.016877,-0.229238,0.23089753557368256
8,8,44.94012,-93.167899,2025-03-28T03:01:12Z,-0.114594,Grand Avenue West,-0.041262,-0.268329,0.294677433341951
9,9,44.940121,-93.168033,2025-03-28T03:01:13Z,-0.465693,Grand Avenue West,-0.096093,-0.254735,0.5394383700878165
10,10,44.940122,-93.168167,2025-03-28T03:01:14Z,-0.370092,Grand Avenue West,-0.101747,-0.189503,0.4280559863872949
11,11,44.940121,-93.168306,2025-03-28T03:01:15Z,-0.427862,Grand Avenue West,-0.114982,-0.244649,0.5061026423256453
12,12,44.940121,-93.168448,2025-03-28T03:01:16Z,-0.351713,Grand Avenue West,-0.116557,-0.130543,0.3928473539009777
13,13,44.940122,-93.168592,2025-03-28T03:01:17Z,-0.448185,Grand Avenue West,-0.096365,-0.112873,0.47211896973008827
14,14,44.940121,-93.168733,2025-03-28T03:01:18Z,-0.5352,Grand Avenue West,-0.189589,-0.070523,0.5721507864627995
15,15,44.94012,-93.168879,2025-03-28T03:01:19Z,-0.682228,Grand Avenue West,-0.172246,-0.016536,0.7038303544150394
16,16,44.940119,-93.169029,2025-03-28T03:01:20Z,-0.659667,Grand Avenue West,-0.150248,-0.152272,0.693485237317277
