ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm,base_street,line_count,color
35,35,44.940122,-93.171494,2025-04-04T03:48:05Z,0.022299,Grand Avenue West,-0.021983,0.049571,0.05863259955860732,Grand Avenue,2,#990000
36,36,44.94012,-93.171634,2025-04-04T03:48:06Z,0.04785,Grand Avenue West,0.045429,-1.81e-4,0.0659806737007133,Grand Avenue,2,#990000
37,37,44.940118,-93.171773,2025-04-04T03:48:07Z,0.028572,Grand Avenue West,-0.001137,0.090927,0.09531721398572243,Grand Avenue,2,#990000
38,38,44.940119,-93.171915,2025-04-04T03:48:08Z,0.07586,Grand Avenue West,-0.045078,0.020076,0.09049757709463828,Grand Avenue,2,#990000
39,39,44.940118,-93.172058,2025-04-04T03:48:09Z,0.007885,Grand Avenue West,0.138328,0.001891,0.13856545272902623,Grand Avenue,2,#990000
40,40,44.940118,-93.1722,2025-04-04T03:48:10Z,0.110634,Grand Avenue West,-0.16102,0.126765,0.23288771453427934,Grand Avenue,2,#990000
41,41,44.940118,-93.172344,2025-04-04T03:48:11Z,0.112308,Grand Avenue West,0.090448,0.009443,0.1445098537020919,Grand Avenue,2,#990000
42,42,44.940119,-93.172489,2025-04-04T03:48:12Z,0.036387,Grand Avenue West,-0.031713,-0.048739,0.06859459351144227,Grand Avenue,2,#990000
43,43,44.940119,-93.172634,2025-04-04T03:48:13Z,0.087166,Grand Avenue West,-0.005184,0.020235,0.08963392570338533,Grand Avenue,2,#990000
44,44,44.940119,-93.172783,2025-04-04T03:48:14Z,0.140472,Grand Avenue West,0.11741,0.030428,0.1855892078435597,Grand Avenue,2,#990000
45,45,44.940119,-93.172931,2025-04-04T03:48:15Z,0.095664,Grand Avenue West,-0.149819,0.048027,0.1841301886872438,Grand Avenue,2,#990000
46,46,44.940121,-93.173083,2025-04-04T03:48:16Z,0.051877,Grand Avenue West,0.090055,-0.052085,0.116249616683239,Grand Avenue,2,#990000
47,47,44.940121,-93.173236,2025-04-04T03:48:17Z,0.042961,Grand Avenue West,-0.028416,0.072296,0.08876839636379605,Grand Avenue,2,#990000
48,48,44.940122,-93.17339,2025-04-04T03:48:18Z,0.081639,Grand Avenue West,-0.023665,0.019636,0.08723835763011589,Grand Avenue,2,#990000
49,49,44.940122,-93.173544,2025-04-04T03:48:19Z,0.155579,Grand Avenue West,-0.102095,0.050663,0.19285993320282985,Grand Avenue,2,#990000
50,50,44.940123,-93.173703,2025-04-04T03:48:20Z,-0.037369,Grand Avenue West,0.068402,0.029297,0.08326818104174007,Grand Avenue,2,#990000
