seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,accelerometer_y_new,accelerometer_x_new,L2_norm
1,44.940106,-93.16725,2025-03-14T02:36:15Z,0.095533,0.00638,1.024505,1.0289692675264892
2,44.940115,-93.167259,2025-03-14T02:36:16Z,0.316268,-0.016277,-0.069752,0.32427724258263946
3,44.940116,-93.167346,2025-03-14T02:36:17Z,0.468113,0.116736,-0.307948,0.5723539509508081
4,44.940116,-93.16742,2025-03-14T02:36:18Z,0.393341,0.074664,-0.539035,0.6714540836140622
5,44.940116,-93.167513,2025-03-14T02:36:19Z,0.318095,0.045798,-0.700374,0.7705878442494406
6,44.940115,-93.167613,2025-03-14T02:36:20Z,0.132001,-0.115056,-0.536745,0.5645859918223264
7,44.940115,-93.167726,2025-03-14T02:36:21Z,-0.327442,-0.051097,-0.477043,0.5808607325529933
8,44.940115,-93.167838,2025-03-14T02:36:22Z,-0.543511,-0.152022,-0.287232,0.6332591234471083
9,44.940115,-93.167957,2025-03-14T02:36:23Z,-0.619941,-0.202553,-0.273573,0.7072458890788973
10,44.940115,-93.16807,2025-03-14T02:36:24Z,-1.008688,-0.254194,-0.010753,1.0402796249033237
11,44.940115,-93.168183,2025-03-14T02:36:25Z,-0.500706,-0.268314,-0.099369,0.5766915112891813
12,44.940116,-93.168292,2025-03-14T02:36:26Z,-0.32293,-0.057957,-0.183132,0.3757394418649711
13,44.940116,-93.168406,2025-03-14T02:36:27Z,-0.141581,-0.087669,-0.17128,0.2388888266997852
14,44.940116,-93.168514,2025-03-14T02:36:28Z,0.080653,-0.032385,-0.207057,0.22455800115560343
15,44.940116,-93.16864,2025-03-14T02:36:29Z,0.142116,0.03785,-0.282625,0.31860080128744184
16,44.940116,-93.168742,2025-03-14T02:36:30Z,0.069626,0.023998,-0.35444,0.36201021736962063
17,44.940117,-93.168884,2025-03-14T02:36:31Z,0.02398,-0.044776,-0.1966,0.20305538795116962
18,44.940117,-93.169051,2025-03-14T02:36:32Z,-0.185586,-0.011076,-0.177943,0.2573490866915987
19,44.940118,-93.169184,2025-03-14T02:36:33Z,-0.10759,-0.125342,-0.110265,0.19860663455433708
20,44.940119,-93.16933,2025-03-14T02:36:34Z,-0.233966,0.095242,-0.018615,0.2532935963363464
21,44.94012,-93.169485,2025-03-14T02:36:35Z,-0.256442,-0.062981,-0.052077,0.26914888009055504
22,44.94012,-93.16964,2025-03-14T02:36:36Z,-0.223306,-0.093066,0.071547,0.25228123830558624
23,44.94012,-93.169799,2025-03-14T02:36:37Z,-0.287665,-0.212964,0.070438,0.364782578209267
24,44.940121,-93.169984,2025-03-14T02:36:38Z,-0.274256,-0.08086,-0.046838,0.2897386604856176
25,44.940121,-93.17014,2025-03-14T02:36:39Z,-0.167161,-0.044521,0.046084,0.1790213797790644
