ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm
1,1,44.940042,-93.167343,2025-02-28T01:23:32Z,0.124689,Grand Avenue West,0.014961,0.490415,0.5062391238011934
2,2,44.940103,-93.167372,2025-02-28T01:23:33Z,-2.14e-4,Grand Avenue West,-0.045221,-0.26442,0.2682590558340948
3,3,44.940111,-93.167432,2025-02-28T01:23:34Z,-0.061987,Grand Avenue West,0.011048,-0.135401,0.14932473764919194
4,4,44.940119,-93.167489,2025-02-28T01:23:35Z,-0.329081,Grand Avenue West,-0.180021,-0.206872,0.4283665362583777
5,5,44.940129,-93.167543,2025-02-28T01:23:36Z,-0.080372,Grand Avenue West,-0.047751,-0.261354,0.27757112548137997
6,6,44.940115,-93.16761,2025-02-28T01:23:37Z,0.315958,Grand Avenue West,0.056683,-0.521254,0.6121667687558677
7,7,44.940129,-93.167691,2025-02-28T01:23:38Z,0.398393,Grand Avenue West,0.065534,-0.507513,0.6485222685259158
8,8,44.940115,-93.167783,2025-02-28T01:23:39Z,0.363487,Grand Avenue West,0.093484,-0.454937,0.5897709143336928
9,9,44.940115,-93.167882,2025-02-28T01:23:40Z,0.333484,Grand Avenue West,0.087584,-0.405102,0.5319681999104834
10,10,44.940115,-93.167993,2025-02-28T01:23:41Z,0.192182,Grand Avenue West,-0.01142,-0.336783,0.3879267026295045
11,11,44.940115,-93.168111,2025-02-28T01:23:42Z,0.138701,Grand Avenue West,0.073555,-0.39351,0.4236725451643049
12,12,44.940115,-93.168232,2025-02-28T01:23:43Z,-0.303731,Grand Avenue West,-0.202061,-0.096612,0.3773791814952171
13,13,44.940116,-93.168358,2025-02-28T01:23:44Z,-0.41882,Grand Avenue West,-0.17606,-0.144546,0.47676080178219354
14,14,44.940116,-93.168485,2025-02-28T01:23:45Z,-0.186613,Grand Avenue West,-0.044183,-0.193975,0.27276885797869227
15,15,44.940116,-93.168611,2025-02-28T01:23:46Z,-0.166148,Grand Avenue West,-0.045584,-0.159687,0.23491061476442482
16,16,44.940116,-93.168745,2025-02-28T01:23:47Z,-0.438574,Grand Avenue West,-0.198188,-0.096464,0.4908471657410278
17,17,44.940117,-93.16889,2025-02-28T01:23:48Z,-0.443253,Grand Avenue West,-0.135226,-0.07194,0.4689719146015036
18,18,44.940117,-93.169031,2025-02-28T01:23:49Z,-0.443751,Grand Avenue West,-0.18474,-0.104426,0.49188271679029344
19,19,44.940118,-93.169163,2025-02-28T01:23:50Z,-2.506324,Grand Avenue West,-0.775003,0.713083,2.7185983535406626
20,20,44.940119,-93.169297,2025-02-28T01:23:51Z,-0.928411,Grand Avenue West,-0.256831,0.272186,1.0009966863471627
21,21,44.940119,-93.169358,2025-02-28T01:23:52Z,0.050762,Grand Avenue West,-0.006005,-0.060596,0.07927619999091783
22,22,44.94012,-93.169454,2025-02-28T01:23:53Z,0.32404,Grand Avenue West,-0.01567,-0.301397,0.44281782045102924
23,23,44.94012,-93.169558,2025-02-28T01:23:54Z,0.569804,Grand Avenue West,0.358257,-0.295726,0.7351724583667427
24,24,44.94012,-93.169672,2025-02-28T01:23:55Z,0.593271,Grand Avenue West,0.003793,-0.16056,0.6146253980189885
25,25,44.94012,-93.169806,2025-02-28T01:23:56Z,0.524355,Grand Avenue West,0.190327,-0.158118,0.5798049972861565
26,26,44.94012,-93.169939,2025-02-28T01:23:57Z,0.252315,Grand Avenue West,-0.011616,-0.178092,0.3090542851102376
27,27,44.94015,-93.170074,2025-02-28T01:23:58Z,0.294635,Grand Avenue West,0.122179,-0.10578,0.33604597849996654
28,28,44.94015,-93.170222,2025-02-28T01:23:59Z,0.146125,Grand Avenue West,0.013493,-0.119322,0.18913570883891812
29,29,44.940146,-93.170376,2025-02-28T01:24:00Z,0.118851,Grand Avenue West,-0.008608,-0.063388,0.134972946952343
30,30,44.940147,-93.170527,2025-02-28T01:24:01Z,-0.221695,Grand Avenue West,-0.106881,0.078582,0.25835508880221425
31,31,44.940123,-93.170679,2025-02-28T01:24:02Z,-0.274159,Grand Avenue West,-0.029997,0.028617,0.27727587341671106
32,32,44.940123,-93.170833,2025-02-28T01:24:03Z,-0.038033,Grand Avenue West,-0.159357,-0.037814,0.16814000456167472
33,33,44.940138,-93.170985,2025-02-28T01:24:04Z,0.023287,Grand Avenue West,0.012707,-0.103891,0.10722449393212355
34,34,44.940136,-93.171137,2025-02-28T01:24:05Z,0.183658,Grand Avenue West,0.009836,-0.129942,0.22519309763844894
35,35,44.940137,-93.171293,2025-02-28T01:24:06Z,0.151373,Grand Avenue West,-0.053485,-0.075464,0.17739573176939744
36,36,44.940137,-93.171459,2025-02-28T01:24:07Z,0.113731,Grand Avenue West,0.088273,-0.004943,0.14405310180277273
37,37,44.940135,-93.17163,2025-02-28T01:24:08Z,-0.133877,Grand Avenue West,0.064324,-0.054111,0.15807791884384106
38,38,44.940133,-93.171802,2025-02-28T01:24:09Z,0.025659,Grand Avenue West,-0.084668,0.146419,0.17107185059500582
39,39,44.940133,-93.17197,2025-02-28T01:24:10Z,-0.109109,Grand Avenue West,-0.139672,0.03416,0.1804991608429247
40,40,44.940137,-93.172144,2025-02-28T01:24:11Z,-0.114884,Grand Avenue West,0.044839,0.009915,0.12372217506170831
